Address,Latitude,Longitude
"128 S Glick, Mulberry, IN, 46058-0000, USA",40.3439096,-86.6664305
"3120 E 30th St, Indianapolis, IN, 46218-2851, USA",39.8111812,-86.1159345
"100 S Depot Street, Walton, IN, 46994, USA",40.660748,-86.2413535
"121 S Main St, Milford, IN, 46542-0000, USA",41.4090731,-85.8464442
"200 N Church St, Mishawaka, IN, 46544-1423, USA",41.6627062,-86.178911
"107 N Sycamore St, Gaston, IN, 47342-0000, USA",40.3144849,-85.5009286
"111 E Jefferson St # 5, Goshen, IN, 46528-3786, USA",41.5839521,-85.833346
"111 E Kentucky St, Clayton, IN, 46118-9482, USA",39.6887958,-86.5210885
"210 E Washington St, Oakland City, IN, 47660-1548, USA",38.338764,-87.3437847
"112 E Emerson St, Princeton, IN, 47670-1802, USA",38.3575148,-87.5671612
"108 S Main St, Salem, IN, 47167-2022, USA",38.6048216,-86.1004768
"1 E Main St # 102, Fort Wayne, IN, 46802-1804, USA",41.0809169,-85.1391614
"100 College St, Battle Ground, IN, 47920-0000, USA",40.5106107,-86.840603
"10 N Center St, Flora, IN, 46929-1001, USA",40.5481346,-86.5237626
"611 E. Jackson St., Brazil, IN, 47834, USA",39.5237575,-87.1190618
"203 E National Ave, Brazil, IN, 47834-2665, USA",39.5229915,-87.1256494
"111 W 8th St, Clay City, IN, 47841-1311, USA",39.276334,-87.1133311
"609 E National Ave # 302, Brazil, IN, 47834-2659, USA",39.5244938,-87.1194517
"100 E 5th St, Connersville, IN, 47331-2021, USA",39.6410307,-85.1389624
"104 E 2nd, Otterbein, IN, 47970-0000, USA",40.4887718,-87.0948094
"102 S Spring St, Wakarusa, IN, 46573-0000, USA",41.5355692,-86.0173853
"102 W 2nd St, Michigan City, IN, 46360-3231, USA",41.7200453,-86.9039818
"109 E Aurora St, Kewanna, IN, 46939-0000, USA",41.0193307,-86.4136291
"109 S Main, Summitville, IN, 46070-0000, USA",40.3373754,-85.6449121
"123 W 4th St, Connersville, IN, 47331-1901, USA",39.6405446,-85.1412922
"9706 Clark, Floyds Knobs, IN, 47119-0000, USA",38.3242901,-85.8738399
"9110 State Road 64, Georgetown, IN, 47122-8977, USA",38.2946855,-85.9777645
"311 W 1st St # 131, New Albany, IN, 47150-3585, USA",38.2842277,-85.8253215
"110 S Orange St, Albion, IN, 46701-1127, USA",41.3950007,-85.4237336
"106 Ridge St, Westville, IN, 46391-0000, USA",41.5420556,-86.8990673
"100 W Washington St, Muncie, IN, 47305-1752, USA",40.1950847,-85.3870286
"1008 E 20th St, Muncie, IN, 47302-5303, USA",40.1706403,-85.3754433
"230 E MAIN ST, FRANCISCO, IN, 47649, USA",38.3323151,-87.443848
"PO BOX 158, PATOKA, IN, 47666, USA",38.4069908,-87.5855787
"BRUMMIT ST, OWENSVILLE, IN, 47665, USA",38.2719399,-87.6970074
"210 W LOCUST ST, FORT BRANCH, IN, 47648, USA",38.2477049,-87.5807113
"310 W State St, Princeton, IN, 47670-1342, USA",38.3565174,-87.570636
"101 S Union Ave, Ashley, IN, 46705-0000, USA",41.5263664,-85.0666517
"103 W 3rd St, Ligonier, IN, 46767-1903, USA",41.4634205,-85.5887435
"105 E Main St, Atlanta, IN, 46031-0000, USA",40.2162594,-86.0262468
"105 S Church St, Frankton, IN, 46044-0000, USA",40.222577,-85.7795785
"105 S Lincoln Ave, Fowler, IN, 47944-1544, USA",40.617168,-87.3159787
"875 S SR 9, Lagrange, IN, 46761-1809, USA",41.6295293,-85.4147441
"105 W Taylor St, Shelbyville, IN, 46176-2028, USA",39.520551,-85.778608
"111 N 3rd St, Goshen, IN, 46526-3299, USA",41.5871214,-85.836462
"112 N Meridian St, Greentown, IN, 46936-1220, USA",40.4784111,-85.9663351
"101 S MAIN ST, HAUBSTADT, IN, 47639, USA",38.2049816,-87.5748439
"113 N Oak St, Corydon, IN, 47112-1123, USA",38.2109994,-86.1275298
"7501 Main St NE, Lanesville, IN, 47136-8615, USA",38.2383875,-85.9840989
"1445 Gardner Ln NW # 1000, Corydon, IN, 47112-2079, USA",38.2230243,-86.1432975
"317 S Walnut St, Madison, IN, 47250-3523, USA",38.7358043,-85.3761897
"101 W Main St, Madison, IN, 47250-3777, USA",38.7360939,-85.3804256
"116 S State St, Greenfield, IN, 46140-2330, USA",39.7835134,-85.769468
"118 S Main St, Dunkirk, IN, 47336-1250, USA",40.3746725,-85.2102624
"11 N Madison Ave, Hanover, IN, 47243-9696, USA",38.7141638,-85.4670875
"407 S 6th St, Mitchell, IN, 47446-1710, USA",38.7289221,-86.4711013
"1420 I St, Bedford, IN, 47421-3324, USA",38.8625427,-86.4823587
"1617 K St, Bedford, IN, 47421-3725, USA",38.8606722,-86.4859329
"109 Main St, Oolitic, IN, 47451-9603, USA",38.9009939,-86.5262976
"120 W Main St, Butler, IN, 46721-1322, USA",41.4294919,-84.8727948
