WKT,Facility_ID_Hazus,Facility_Name,Address,City,Zip_Code,Contact_Person,Phone_Number,Replacement_Cost_Thousands,Comment,GlobalID,Shape_X,Shape_Y
"POINT (528333.3246 4466029.0208)",IN000128,Mulberry Town Marshal,128 S Glick,Mulberry,46058-0000, , ,1442, ,{323F25AD-369F-441B-91B1-5DF927A61515},528333.3246,4466029.0208
"POINT (575924.0571 4407130.0669)",IN000325,Indianapolis Police Dept,3120 E 30th St,Indianapolis,46218-2851, , ,1442, ,{06DCFA8B-CF20-44CD-8B31-BD9A3E481A21},575924.0571,4407130.0669
"POINT (564131.6245 4501374.8692)",IN798780,Walton Police,100 S Depot Street,Walton,46994, , ,500, ,{7226E90D-189E-472E-909C-B710D4596477},564131.6245,4501374.8692
"POINT (596414.6794 4584812.4572)",IN798823,Milford Police Dept,121 S Main St,Milford,46542-0000, , ,1442, ,{9422A35E-03F5-4408-8937-5DB115AE0922},596414.6794,4584812.4572
"POINT (568350.6937 4612642.8389)",IN798937,Police Chief,200 N Church St,Mishawaka,46544-1423, , ,1442, ,{D56E4841-02EE-4AB3-A2F9-249B51849656},568350.6937,4612642.8389
"POINT (627391.8072 4463770.8503)",IN000049,Gaston Police Dept,107 N Sycamore St,Gaston,47342-0000, , ,1442, ,{BBC2405C-5D10-4EB2-9DE4-8EE3B4BD3035},627391.8072,4463770.8503
"POINT (597185.6567 4604200.7174)",IN000068,Goshen Police Dept,111 E Jefferson St # 5,Goshen,46528-3786, , ,1442, ,{15AE12E7-96EE-4949-BD46-CCE80AD2AFD2},597185.6567,4604200.7174
"POINT (541076.4641 4393367.6122)",IN000069,Clayton Police Dept,111 E Kentucky St,Clayton,46118-9482, , ,1442, ,{13069711-F899-4E15-BF9A-9567FAE2B85A},541076.4641,4393367.6122
"POINT (469974.7177 4243458.0743)",CO790071,Oakland City Police Dept,210 E Washington St,Oakland City,47660-1548, , ,1442,CountyApproved,{007DD332-E171-4292-BE10-81A244853A4A},469974.7177,4243458.0743
"POINT (450462.9537 4245608.1807)",CO790070,Gibson County Sheriffs Office,112 E Emerson St,Princeton,47670-1802, , ,1442,CountyApproved,{69F9515C-1CA6-4194-ACD3-620B54E11E57},450462.9537,4245608.1807
"POINT (578306.3749 4273331.2945)",IN000057,Washington County Police Dept,108 S Main St,Salem,47167-2022, , ,1442, ,{338495D6-0986-4589-971A-33670245109B},578306.3749,4273331.2945
"POINT (656256.6397 4549351.6152)",IN000002,Allen CO Sheriff Dept Bur-Id,1 E Main St # 102,Fort Wayne,46802-1804, , ,1442, ,{4717413A-1C3A-40CE-B005-6794E4059C02},656256.6397,4549351.6152
"POINT (515034.6366 4488589.0106)",IN000007,Battle Ground Police Dept,100 College St,Battle Ground,47920-0000, , ,1442, ,{C80B85F1-4F42-4861-8F42-8E1A08665A0A},515034.6366,4488589.0106
"POINT (540312.11 4488717.1567)",IN000004,Flora Police Dept,10 N Center St,Flora,46929-1001, , ,1442, ,{4FA0BB44-DBE7-44FA-B902-E83E6C905206},540312.11,4488717.1567
"POINT (489765.9522 4374899.302)",CO751140,Clay County Justice Center,611 E. Jackson St.,Brazil,47834, , ,1442,CountyApproved,{63C9A0CB-C305-42F0-8637-156382A44466},489765.9522,4374899.302
"POINT (489296.6245 4374869.9719)",CO751138,Brazil Police Dept,203 E National Ave,Brazil,47834-2665, , ,1442,CountyApproved,{1184B3E0-3ABE-4839-B4E0-F117E670F2EC},489296.6245,4374869.9719
"POINT (490240.358 4347441.3911)",CO751137,Clay City Police Dept,111 W 8th St,Clay City,47841-1311, , ,1442,CountyApproved,{73CDD106-4F62-4055-A82C-655A88A66038},490240.358,4347441.3911
"POINT (489737.7227 4375000.3324)",CO751139,Clay County Criminal Div,609 E National Ave # 302,Brazil,47834-2659, , ,1442,CountyApproved,{B28E482C-40B8-45CF-9598-0C3073929714},489737.7227,4375000.3324
"POINT (659692.5831 4389616.7479)",CO781490,Connersville Police Station,100 E 5th St,Connersville,47331-2021, , ,1442,County Approved,{6C692273-3AFF-4241-AA8A-CAACE5C27215},659692.5831,4389616.7479
"POINT (491982.0236 4482041.3629)",IN000014,Otterbein Town Police Dept,104 E 2nd,Otterbein,47970-0000, , ,1442, ,{CCE61DBB-6CDD-4E83-AEC3-E439F9A6F7E4},491982.0236,4482041.3629
"POINT (581947.4549 4598853.3697)",IN000016,Wakarusa Police Dept,102 S Spring St,Wakarusa,46573-0000, , ,1442, ,{D4571C88-CA6A-4FFA-A203-19275F441B3C},581947.4549,4598853.3697
"POINT (508028.4244 4618764.4614)",IN000017,Police Dept,102 W 2nd St,Michigan City,46360-3231, , ,1442, ,{13759700-FB72-445A-A245-736A69FF3AE3},508028.4244,4618764.4614
"POINT (549246.2851 4541102.5034)",IN000059,Kewanna Police Dept,109 E Aurora St,Kewanna,46939-0000, , ,1442, ,{2A45803B-FD21-4B06-BBD1-55875E8CD8A4},549246.2851,4541102.5034
"POINT (615090.9594 4466157.3318)",IN000061,Summitville Police Dept,109 S Main,Summitville,46070-0000, , ,1442, ,{E9CDDB22-1205-434F-B7E2-23033CB1287E},615090.9594,4466157.3318
"POINT (659540.6712 4389490.3438)",CO781491,Fayette County Sheriff's Dept,123 W 4th St,Connersville,47331-1901, , ,1442,County Approved,{CA125873-CCE2-45E4-AF0E-F43CC671BDB1},659540.6712,4389490.3438
"POINT (588300.1154 4247875.9124)",CO790365,Greenville Town Marshall,9706 Clark,Floyds Knobs,47119-0000, , ,1442,CountyApproved,{BDCE862F-4D7C-4B94-89F2-3018CEA95F73},588300.1154,4247875.9124
"POINT (589389.0766 4238996.5059)",CO790364,Georgetown Police Dept,9110 State Road 64,Georgetown,47122-8977, , ,1442,CountyApproved,{515F6DD2-95AB-4DDA-8415-E599F242AA8F},589389.0766,4238996.5059
"POINT (602774.413 4238020.2616)",CO790363,New Albany Police\Sheriff\Jail,311 W 1st St # 131,New Albany,47150-3585, , ,1442,CountyApproved,{3CD055FC-30E3-4456-8C67-56FD207EDA3F},602774.413,4238020.2616
"POINT (631749.1259 4583854.4813)",IN000066,Albion Police Dept,110 S Orange St,Albion,46701-1127, , ,1442, ,{8DFC18AE-EF0F-4348-AB71-C06A07A1AF0B},631749.1259,4583854.4813
"POINT (508397.637 4598900.8513)",IN000020,Westville Town Marshall,106 Ridge St,Westville,46391-0000, , ,1442, ,{6FD982DB-3E47-447D-9F52-72F9E9AB47C7},508397.637,4598900.8513
"POINT (637332.5116 4450596.6099)",IN000025,County Police,100 W Washington St,Muncie,47305-1752, , ,1442, ,{FE293626-A978-475A-ACB4-CF66545EFCDA},637332.5116,4450596.6099
"POINT (638293.604 4447911.4665)",IN000027,Muncie Police Dept-Cop Shop,1008 E 20th St,Muncie,47302-5303, , ,1442, ,{B27018CA-10EB-4887-85EF-6B6613F509BE},638293.604,4447911.4665
"POINT (461205.8263 4242780.8611)",CO790074,FRANCISCO POLICE DEPARTMENT,230 E MAIN ST,FRANCISCO,47649, , ,1442,CountyApproved,{2F813DE3-C225-4C5B-BDE0-D37C3E1B1D7E},461205.8263,4242780.8611
"POINT (448867.7783 4251021.0261)",CO790077,PATOKA POLICE DEPARTMENT,PO BOX 158,PATOKA,47666, , ,1442,CountyApproved,{64C377A7-0C93-499F-B0EC-11E53371C18C},448867.7783,4251021.0261
"POINT (439972.9719 4236235.1033)",CO790076,OWENSVILLE POLICE DEPARTMENT,BRUMMIT ST,OWENSVILLE,47665, , ,1442,CountyApproved,{ADBA5D5F-EBB3-452F-B4B5-79727C9AE1AE},439972.9719,4236235.1033
"POINT (449229.8316 4233454.2459)",CO790073,FORT BRANCH POLICE DEPARTMENT,210 W LOCUST ST,FORT BRANCH,47648, , ,1442,CountyApproved,{C8D7B900-2735-4F17-89CE-D4EE8BBD5340},449229.8316,4233454.2459
"POINT (450174.9559 4245521.183)",CO790072,Princeton Police Dept,310 W State St,Princeton,47670-1342, , ,1442,CountyApproved,{1583B85E-16A5-41D3-AEA5-3A3CC702B63A},450174.9559,4245521.183
"POINT (661289.4072 4599068.3166)",IN000033,Ashley Police Dept,101 S Union Ave,Ashley,46705-0000, , ,1442, ,{46B9AC8B-6DDB-4E96-8F71-588E71C44898},661289.4072,4599068.3166
"POINT (617885.5387 4591212.5719)",IN000040,Ligonier Police Dept,103 W 3rd St,Ligonier,46767-1903, , ,1442, ,{1C3DF95B-72F3-4B4B-ADFD-A1732F214E82},617885.5387,4591212.5719
"POINT (582843.4286 4452199.3555)",IN000044,Atlanta Town Marshall,105 E Main St,Atlanta,46031-0000, , ,1442, ,{ABCFBBBE-A169-4168-B591-1B9991D45B94},582843.4286,4452199.3555
"POINT (603376.2363 4453636.0471)",IN000045,Frankton Police Dept,105 S Church St,Frankton,46044-0000, , ,1442, ,{58607DFC-F4C1-4167-9CFF-7CE2A511E7B3},603376.2363,4453636.0471
"POINT (473226.0706 4496358.8123)",IN000046,Benton County Sheriff,105 S Lincoln Ave,Fowler,47944-1544, , ,1442, ,{E9E10C4E-372B-4D1D-A619-1875A775A475},473226.0706,4496358.8123
"POINT (631942.1606 4609372.2074)",IN798833,Lagrange Sheriff Office,875  S SR 9,Lagrange,46761-1809, , ,5196, ,{6856EDC7-1B70-4E58-B821-2E63384E90F6},631942.1606,4609372.2074
"POINT (605006.9307 4375252.0533)",IN798948,Shelbyville Police Dept,105 W Taylor St,Shelbyville,46176-2028, , ,1442, ,{0BEB8644-FA03-4376-AFBB-7E011DC62AC0},605006.9307,4375252.0533
"POINT (597021.0887 4604533.8485)",IN000071,Elkhart County Sheriffs Dept,111 N 3rd St,Goshen,46526-3299, , ,1442, ,{0D01A3C5-24E8-44C7-BAE8-E8363F58A18B},597021.0887,4604533.8485
"POINT (587594.8226 4481342.226)",IN000076,Greentown Police Dept,112 N Meridian St,Greentown,46936-1220, , ,1442, ,{E02E9212-DAE6-44C4-8875-0F3E599CE28E},587594.8226,4481342.226
"POINT (449678.4458 4228755.5354)",CO790075,HAUBSTADT POLICE DEPARTMENT,101 S MAIN ST,HAUBSTADT,47639, , ,1442,CountyApproved,{622FF8FE-ECF4-415C-A1F4-42B7F67417A3},449678.4458,4228755.5354
"POINT (576381.2696 4229582.7376)",CO719040,Corydon Town Marshall,113 N Oak St,Corydon,47112-1123, , ,1442,County Approved,{587AEDC4-6702-47E6-811A-6E78E87D2D4B},576381.2696,4229582.7376
"POINT (588841.2596 4232650.4885)",CO719042,Lanesville Town Marshall,7501 Main St NE,Lanesville,47136-8615, , ,1442,County Approved,{1F541CE3-F804-480C-9DEF-F654302678C4},588841.2596,4232650.4885
"POINT (575000.6842 4230890.3769)",CO719041,Harrison County Sheriff's Ofc,1445 Gardner Ln NW # 1000,Corydon,47112-2079, , ,1442,County Approved,{ADCEA76D-A512-4B5A-9DD8-ADBB147D5755},575000.6842,4230890.3769
"POINT (641139.164 4288719.264)",CO798758,Jefferson County Sheriff,317 S Walnut St,Madison,47250-3523, , ,1442,CountyApproved,{6ED8E402-98A4-4C25-B7BB-C16A8DFB8475},641139.164,4288719.264
"POINT (640750.0605 4288744.5642)",CO798756,Madison Police Dept,101 W Main St,Madison,47250-3777, , ,1442,CountyApproved,{C925FEF9-15E3-4F44-8522-C9E44486C060},640750.0605,4288744.5642
"POINT (605393.4952 4404497.1113)",IN000085,Greenfield Police Dept,116 S State St,Greenfield,46140-2330, , ,1442, ,{CFABAC14-F411-4215-B15D-218069DE18CC},605393.4952,4404497.1113
"POINT (651922.3111 4470831.5812)",IN000094,Dunkirk Police Dept,118 S Main St,Dunkirk,47336-1250, , ,1442, ,{D5CA9EE3-76D6-475C-9F1A-A7F95A10988A},651922.3111,4470831.5812
"POINT (633270.7397 4286168.0937)",CO798757,Hanover Police Dept,11 N Madison Ave,Hanover,47243-9696, , ,1442,CountyApproved,{710ED583-D0D6-49A7-8079-7783953CAB4D},633270.7397,4286168.0937
"POINT (545980.6744 4286812.5091)",CO781081,Mitchell Police Dept,407 S 6th St,Mitchell,47446-1710, , ,1442,CountyApproved,{2E23850B-1BE3-4F77-B6FE-C6D295C81020},545980.6744,4286812.5091
"POINT (544903.2897 4301624.4109)",CO781079,Lawrence County Sheriff,1420 I St,Bedford,47421-3324, , ,1442,CountyApproved,{D931C0B9-BB7B-42BA-853A-0509D79E54C3},544903.2897,4301624.4109
"POINT (544611.1466 4301426.3384)",CO781080,Bedford Police Dept,1617 K St,Bedford,47421-3725, , ,1442,CountyApproved,{C06308D0-7ABC-40E1-8D30-92BED2F02149},544611.1466,4301426.3384
"POINT (541081.7942 4305894.9836)",CO781078,Oolitic Police Dept,109 Main St,Oolitic,47451-9603, , ,1442,CountyApproved,{2B0C318A-11FB-4B98-A068-59A0B8FBAEBF},541081.7942,4305894.9836
"POINT (677774.9845 4588643.1654)",IN000100,Butler Police Dept,120 W Main St,Butler,46721-1322, , ,1442, ,{9738911B-B7E3-4734-B9B0-C9D7D50AE54A},677774.9845,4588643.1654
"POINT (546798.1426 4242549.2082)",CO610678,Crawford County Sheriff's Dept,Court St,English,47118, ,812-338-2802,1442,"Updated by TPC, 10/15/05",{A82DBE93-61B0-45E5-91B8-551DAC2C3E17},546798.1426,4242549.2082
"POINT (647305.5253 4580828.7979)",IN000086,Avilla Police Dept,117 S Main St,Avilla,46710-0000, , ,1442, ,{D978B78C-FA4B-4D86-A007-81F114096866},647305.5253,4580828.7979
